GEOHASH,LATITUDE,LONGITUDE,ISO3166-2-lvl4,aeroway,amenity,building,city,city_district,club,commercial,country,country_code,county,craft,district,farm,healthcare,highway,historic,house_number,industrial,landuse,leisure,locality,man_made,military,municipality,neighbourhood,office,postcode,province,quarter,railway,region,residential,road,shop,suburb,tourism,town,village
sxk5nt,41.338806,28.416138,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,,,,,Çatalca,Çiftlikköy Merkez Mahallesi
sxkfng,41.15204,29.481812,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,Hıcız Caddesi,,,,Şile,Sofular Mahallesi
sxk3gj,41.11908,28.613892,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34555,İstanbul,,,Marmara Bölgesi,,,,Karaağaç Mahallesi,,Arnavutköy,Yeşilbayır Mahallesi
sxk3yk,41.113586,28.756714,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34494,İstanbul,Kayaşehir,,Marmara Bölgesi,,,,Kayabaşı Mahallesi,,Başakşehir,
sxkchj,40.987244,29.360962,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34916,İstanbul,,,Marmara Bölgesi,,Orman Yolu,,,,Pendik,Emirli Mahallesi
sxk6xy,41.25641,28.822632,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34076,İstanbul,,,Marmara Bölgesi,,,,,,Eyüpsultan,İhsaniye Mahallesi
sxkf3j,41.20697,29.229126,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,,,Riva Mahallesi,,Beykoz,
sxkd2h,41.201477,28.833618,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34076,İstanbul,,,Marmara Bölgesi,,Pirinççi Köy Yolu Sokak,,Pirinççi Mahallesi,,Eyüpsultan,
sx7fvu,41.289368,28.031616,TR-34,,,,,,,,Türkiye,tr,,,Tekirdağ,,,,,,,,,,,,,,,59500,İstanbul,,,Marmara Bölgesi,,Çerkezköy Hallaçlı Sayalar Yolu,,Bağlık Mahallesi,,Çatalca,Hallaçlı Mahallesi
sxkb7p,40.866394,29.317017,TR-34,,,,,Aydınlı Mahallesi,,,Türkiye,tr,,,,,,,,59 83-7,,,,,,,,,,34953,İstanbul,,,Marmara Bölgesi,,Sırma Sk.,,Aydınlı,,Tuzla,
sxkf34,41.19049,29.229126,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,Mucize Caddesi,,,,Beykoz,Paşamandıra Mahallesi
sx7gjp,41.349792,27.998657,TR-59,,,,,Cumhuriyet Mahallesi,,,Türkiye,tr,,,Tekirdağ,,,,,,,,,,,,,,,59510,,,,Marmara Bölgesi,Kapaklı,,,Cumhuriyet Mah.,,Kapaklı,
sxm1zp,41.130066,29.84436,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,Yakuplu,,34990,İstanbul,,,Marmara Bölgesi,,Yakuplu Caddesi,,,,Şile,Ağva Merkez Mahallesi
sxkd0v,41.163025,28.866577,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34076,İstanbul,,,Marmara Bölgesi,,,,Pirinççi Mahallesi,,Eyüpsultan,
sx7gty,41.43219,28.031616,TR-59,,,,Küçükyoncalı Mahallesi,,,,Türkiye,tr,,,Tekirdağ,,,,,,,,,,,,Saray,,,,,,,Marmara Bölgesi,,Eski İstanbul Kırklareli Yolu,,,,,
sxk9g5,41.108093,28.965454,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34485,İstanbul,,,Marmara Bölgesi,,,,Ayazağa Mahallesi,,Sarıyer,
sxm413,41.141052,29.591675,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34983,İstanbul,,,Marmara Bölgesi,,Karamandere Caddesi,,,,Şile,Karamandere Mahallesi
sx7gpu,41.333313,28.119507,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34570,İstanbul,,,Marmara Bölgesi,,Hallaçlı Aydınlar Yolu,,Atatürk Mahallesi,,Çatalca,Aydınlar Mahallesi
