GEOHASH,LATITUDE,LONGITUDE,ISO3166-2-lvl4,aeroway,amenity,building,city,city_district,club,commercial,country,country_code,county,craft,district,farm,healthcare,highway,historic,house_number,industrial,landuse,leisure,locality,man_made,military,municipality,neighbourhood,office,postcode,province,quarter,railway,region,residential,road,shop,suburb,tourism,town,village,data_amount
sxk96j,41.03119,28.921509,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34055.0,İstanbul,,,Marmara Bölgesi,,Vatan Caddesi Kavşağı,,Topçular Mahallesi,,Eyüpsultan,,28507
sxkdh9,41.141052,29.031372,TR-34,,Hacıosmanoğlu Camii,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34457.0,İstanbul,,,Marmara Bölgesi,,Gül Sokağı,,Tarabya Mahallesi,,Sarıyer,,28482
sxkdj2,41.13556,29.064331,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34464.0,İstanbul,,,Marmara Bölgesi,,Köybaşı Caddesi,,Yeniköy Mahallesi,,Sarıyer,,27517
sxk8xs,40.89386,29.163208,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34865.0,İstanbul,Dragos,,Marmara Bölgesi,,,,Orhantepe Mahallesi,,Kartal,,28257
sxk9r0,41.003723,29.141235,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34779.0,İstanbul,,,Marmara Bölgesi,,Kadir Sokağı,,Mehmet Akif Mahallesi,,Ümraniye,,28447
sxk9gm,41.11908,28.97644,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34485.0,İstanbul,,,Marmara Bölgesi,,,,Ayazağa Mahallesi,,Sarıyer,,27912
sxkdk8,41.179504,29.031372,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34450.0,İstanbul,,,Marmara Bölgesi,,Dereiçi Sk.,,Maden Mahallesi,,Sarıyer,,25689
sxk9wd,41.058655,29.119263,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34766.0,İstanbul,,,Marmara Bölgesi,,,,Baklacı Mahallesi,,Beykoz,,28500
sxk3x9,41.05316,28.811646,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34218.0,İstanbul,,,Marmara Bölgesi,,Taşocağı Yolu,,Mahmutbey Mahallesi,,Bağcılar,,28507
sxkc2d,41.01471,29.207153,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34788.0,İstanbul,,,Marmara Bölgesi,,Eski Ankara Caddesi,,Kirazlıdere Mahallesi,,Çekmeköy,,28500
sxkf46,41.146545,29.284058,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34869.0,İstanbul,,,Marmara Bölgesi,,Kuzey Marmara Otoyolu,,,,Beykoz,Kılıçlı Mahallesi,25991
sxk8zr,40.954285,29.152222,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34854.0,İstanbul,,,Marmara Bölgesi,,Merve Sokağı,,Başıbüyük Mahallesi,,Maltepe,,24455
sxk3x3,41.05316,28.80066,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34307.0,İstanbul,,,Marmara Bölgesi,,1901. Sokak,,Atatürk Mahallesi,,Küçükçekmece,,28473
sxkb8f,40.882874,29.21814,TR-34,,,,,Yunus Mahallesi,,,Türkiye,tr,,,,,,Pnedik Anadolu İHL,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,Yunus Caddesi,,Sapan Bağları Mahallesi,,Kartal,,27997
sxkbbz,40.954285,29.21814,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34885.0,İstanbul,,,Marmara Bölgesi,,Yörük Caddesi,,Fatih Mahallesi,,Sancaktepe,,28496
sxk1rg,41.020203,28.47107,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34530.0,İstanbul,,,Marmara Bölgesi,,İnci Kum Sokak,,Yenimahalle Mahallesi,,Büyükçekmece,,28452
sxkc56,40.970764,29.328003,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34916.0,İstanbul,,,Marmara Bölgesi,,Kurnaköy-Ömerli Yolu,,,,Pendik,Emirli Mahallesi,28480
sxk9vr,41.130066,29.064331,TR-34,,,Kalender Kasrı,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34464.0,İstanbul,,,Marmara Bölgesi,,Köybaşı Caddesi,,Yeniköy Mahallesi,,Sarıyer,,27696
