Name,LATITUDE,LONGITUDE,road,town,county,province,region,postcode,suburb
KUŞDİLİ CADDESİ UATD,40.9898176,29.0305498,Kuşdili Caddesi,Kadıköy,,İstanbul,Marmara Bölgesi,34714,Osmanağa Mahallesi
OSMANİYE BAKIRKÖY ÖZEL TAKSİ,40.9965783010001,28.882202,,Bakırköy,,İstanbul,Marmara Bölgesi,34146,Osmaniye Mahallesi
KABATAŞ İDO İSKELESİ UATD,41.033537601,28.9920855,,Beyoğlu,,İstanbul,Marmara Bölgesi,34427,Ömer Avni
ALİ DEDE CAD.MEDİPOL HASTANESİ YANI,41.0047999990001,29.0348,Alidede Sokağı,Kadıköy,,İstanbul,Marmara Bölgesi,34718,Koşuyolu Mahallesi
KADIRGA TAKSİ,41.0053,28.9694,Piyer Loti Caddesi,Fatih,,İstanbul,Marmara Bölgesi,34126,Emin Sinan Mahallesi
İHLAS İKİ KENT TAKSİ,40.9844,28.6576,Yeşilyurt Caddesi,Beylikdüzü,,İstanbul,Marmara Bölgesi,34520,Kavaklı Mahallesi
SULTANAHMET İSHAKPAŞA CADDESİ UATD TALEBİ,41.0080414010001,28.9813658,İshakpaşa Caddesi,Fatih,,İstanbul,Marmara Bölgesi,34122,Cankurtaran Mahallesi
İSPARK ŞİŞLİ,41.061333301,28.9873691,Abide-i Hürriyet Caddesi,Şişli,,İstanbul,Marmara Bölgesi,34384,Merkez Mahallesi
Merkez Taksi durağı,41.0742790840001,28.246829582,Hacı Pervane Çeşme Sokağı,Silivri,,İstanbul,Marmara Bölgesi,34570,Piri Mehmet Paşa Mahallesi
EYÜP DEVLET HASTANESİ-1,41.057587701,28.941354801,Basmacı Abdi Efendi Sokağı,Eyüpsultan,,İstanbul,Marmara Bölgesi,34050,Merkez Mahallesi
GAR TAKSİ,40.8299,29.3212,Hatboyu Caddesi,Tuzla,,İstanbul,Marmara Bölgesi,34940,Istasyon
PENDİK KÖYÜ KIZILYERLER TAKSİ DURAĞI,40.8691,29.2728,Anafartalar Sokak,Pendik,,İstanbul,Marmara Bölgesi,34899,Çamçeşme Mahallesi
BOSTANCI METRO DURAĞI-1,40.9648,29.103,Şebnem Sokağı,Kadıköy,,İstanbul,Marmara Bölgesi,34742,Kozyatağı Mahallesi
ALTINYILDIZ TAKSİ DURAĞI,41.0161915,28.652222,1982. Sokak,Esenyurt,,İstanbul,Marmara Bölgesi,34515,Cumhuriyet Mahallesi
FLORYA FLYİNN TAKSİ DURAĞI,40.9717398010001,28.8036681,Çatal Sokağı,Bakırköy,,İstanbul,Marmara Bölgesi,34153,Şenlikköy Mahallesi
EVRENTUR,40.9671353900001,29.0630258040001,Ressam Vecihi Bereketoğlu Sokağı,Kadıköy,,İstanbul,Marmara Bölgesi,34728,Caddebostan Mahallesi
İSPARK SUİŞ,41.024969001,29.086596,Alemdağ Caddesi,Ümraniye,,İstanbul,Marmara Bölgesi,34764,Atatürk Mahallesi
ATABİRLİK TAKSİ,40.9752999990001,28.8723,Ekrembey Sokağı,Bakırköy,,İstanbul,Marmara Bölgesi,34140,Zeytinlik Mahallesi
ÇEVİK TAKSİ,41.0556000010001,29.0174000010001,Mustafa İzzet Efendi Sokağı,Beşiktaş,,İstanbul,Marmara Bölgesi,34347,Mecidiye Mahallesi
KOŞU YOLU BARBOROS TAKSİ DURAĞI,41.0120181010001,29.0367713,,Kadıköy,,İstanbul,Marmara Bölgesi,34662,Koşuyolu Mahallesi
