STATION_CODE,STATION_NAME,DISTRICT,DIRECTION,STOP_TYPE,LATITUDE,LONGITUDE
227742,AYDOS YOLU,Kartal,UGUR MUMCU,İETTÜÇGEN,40.9241000005418,29.2221479999933
116041,HAVANTEPE SU  DEPOSU,Sariyer,SARIYER,İETTCAMLI,41.179031000851,29.0607819560475
119482,SAYAYOLU CADDESİ,Eyüpsultan,YESILPINAR,İETTBAYRAK,41.076803000566,28.9372819999878
201551,ÖRNEKKÖY,Beykoz,M.SEVKET PASA,AÇIK DURAK,41.1419779957064,29.1456169624126
220781,TEKKE CAMİİ,Beykoz,ÜSKÜDAR,CCMODERNDR,41.0971390005694,29.0758919999908
221312,AKINCILAR CADDESİ,Beykoz,BEYKOZ,İETTBAYRAK,41.0936400005689,29.1433049999919
101002,GÜZELSU,Büyükçekmece,GÜZELCE,İETTBAYRAK,41.0113970005546,28.554553999962
202691,YEŞİLÇAY ANADOLU LİSESİ,Sile,SILE,İETTCAMLI,41.1327860005753,29.8551489999987
202711,AĞVA MERKEZ,Sile,MERKEZ,İETTCAMLI,41.1387290005763,29.8553229999987
111682,ÖMERLİ KÖYÜ,Arnavutköy,HADIMKÖY,İETTBAYRAK,41.1190640005722,28.62771699997
108351,OSMANLI CAMİİ,Arnavutköy,ARNAVUTKÖY,İETTMODERN,41.1881470005837,28.7422209999789
261092,ŞANLI CADDESİ,Ümraniye,BOSTANCI,İSTON GENİŞ,41.0062329991168,29.1312670000109
263182,KUĞU SOKAK,Sancaktepe,SULTANBEYLI,İETTBAYRAK,40.999860019147,29.2184100428516
215061,SULTANİYE,Beykoz,MERKEZ,İETTCAMLI,41.1244440005738,29.0993499999912
114642,ATATÜRK MEYDANI ,Sariyer,YESILTEPE,İETTBAYRAK,41.1154849991144,28.9993740000116
302091,EMİNÖNÜ İSKELE,Fatih,YESILKÖY,CCMODERN,41.0166800005565,28.975282999989
214871,DUDULLU OTOGAR,Ümraniye,KADIKÖY,İETTCAMLI,40.9973130005534,29.1546999999923
114951,HARMANTEPE MAHALLESİ,Kagithane,KAGITHANE,CCMODERN,41.0814360005668,28.9923879999892
120031,ULUBATLI HASAN CAMİİ,Eyüpsultan,YESILPINAR(47),CCMODERN,41.0868750005676,28.9374039999878
120331,ÖZPINAR SİTESİ,Eyüpsultan,AKSEMSETTIN,İETTBAYRAK,41.0873769896558,28.9208750248704
128821,KARACAKÖY,Çatalca,SON DURAK (Iston),AÇIK DURAK,41.4037469827467,28.3842300317026
117672,ARAPHAN,Eyüpsultan,KEMERBURGAZ,WALLMODERN,41.0726330005653,28.9497299999882
200191,MEVLANA CAMİİ,Sultanbeyli,ÜMRANIYE 131,İETTBAYRAK,40.9521170005463,29.2707049999938
107421,AYAZMA İLKOKULU,Arnavutköy,ARNAVUTKÖY,İETTCAMLI,41.1864870005834,28.7616899999801
105172,AKBIYIK,Fatih,YENIKAPI,WALLMODERN,41.0053050005546,28.9839739999892
